model,horizon,split,n,mse_mean,mse_std,mae_mean,mae_std
lstm,90,test,5,0.4617478210630256,0.025748168862348004,0.5284855518258025,0.016241206527694674
lstm,90,train,5,0.7132603050043936,0.010577046745941471,0.6521465639841718,0.0065729107685555035
lstm,90,val,5,0.695652873151127,0.05494052339805243,0.6499818069280664,0.031811239790277765
lstm,365,test,5,0.49903808432216223,0.09615296336889283,0.5509605829246562,0.05822175495733305
lstm,365,train,5,0.5258360408345819,0.01455685209034111,0.5528431986474186,0.007268132789648645
lstm,365,val,5,0.4204732633708703,0.02196040074718102,0.5006140744958274,0.01442114914178208
lstm_transformer_ensemble,90,test,5,0.3748435792144105,0.02148965677933649,0.47689396586181454,0.012026109662681184
lstm_transformer_ensemble,90,train,5,0.5532941641154128,0.0639118277579956,0.5645796194242653,0.03602447283294975
lstm_transformer_ensemble,90,val,5,0.7630541685455754,0.06639072140556633,0.6967092641950944,0.03637716574273016
lstm_transformer_ensemble,365,test,5,0.4445655768849878,0.034876556085395645,0.5163836741695974,0.022740688601063652
lstm_transformer_ensemble,365,train,5,0.5051322251733267,0.009816204348384783,0.5414415045793755,0.003455638549168995
lstm_transformer_ensemble,365,val,5,0.3830804633590712,0.012718233258459269,0.4744880450045235,0.007819929055405446
tcn_transformer,90,test,5,0.5124523165054173,0.02803955751412768,0.5796780762586509,0.016588439775794436
tcn_transformer,90,train,5,0.5198459255966811,0.08183933283057002,0.5526345882443906,0.04589833364033276
tcn_transformer,90,val,5,1.5067428546631865,0.2041621668839045,1.0275381024118564,0.07940578367796641
tcn_transformer,365,test,5,0.6551134270252856,0.0713006995630389,0.6383730401635379,0.03645641048162496
tcn_transformer,365,train,5,0.5034043493088904,0.026017992440141264,0.5431632669327755,0.011978074368199424
tcn_transformer,365,val,5,0.39061936422611704,0.016241399689046223,0.483425957239609,0.011481740414775513
transformer,90,test,5,0.4718316425203864,0.023399783125638934,0.554245870542112,0.021257945281884436
transformer,90,train,5,0.5121283167780197,0.10745295432295837,0.5471146498136129,0.058214158406283224
transformer,90,val,5,0.9681058587381985,0.13583337380172544,0.8029850749538564,0.061719576859433786
transformer,365,test,5,0.4639980461846033,0.036386764150320355,0.5260303328628905,0.023206579228724333
transformer,365,train,5,0.5069850795607944,0.019432723168145843,0.544238947558867,0.007431246557639695
transformer,365,val,5,0.38236864525945374,0.013922170274294945,0.4751445344246569,0.010562656382670624
